Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,IND,UND
2020-10-01,2020-10-05,Essential,Online,QLD,202,0.34,0.33,0.11,0.04,0.08,0.1
2020-10-08,2020-10-12,Essential,Online,QLD,202,0.44,0.29,0.08,0.04,0.04,0.11
2020-10-15,2020-10-19,Essential,Online,QLD,208,0.38,0.35,0.09,0.03,0.06,0.09
2020-10-29,2020-11-02,Essential,Online,QLD,204,0.38,0.36,0.09,0.03,0.03,0.11
2020-11-11,2020-11-16,Essential,Online,QLD,194,0.33,0.35,0.12,0.05,0.09,0.06
2020-08-26,2020-11-28,Newspoll,Online,QLD,1879,0.45,0.29,0.12,0.09,0.05,0
2020-11-25,2020-11-30,Essential,Online,QLD,199,0.3,0.43,0.08,0.03,0.08,0.08
2020-12-09,2020-12-14,Essential,Online,QLD,206,0.32,0.35,0.09,0.03,0.06,0.15
2021-01-13,2021-01-18,Essential,Online,QLD,208,0.43,0.3,0.09,0.03,0.05,0.1
2021-01-27,2021-02-01,Essential,Online,QLD,210,0.32,0.35,0.13,0.03,0.08,0.09
2021-02-10,2021-02-15,Essential,Online,QLD,213,0.41,0.38,0.05,0.03,0.09,0.04
2021-02-24,2021-03-01,Essential,Online,QLD,206,0.32,0.36,0.12,0.06,0.1,0.04
2021-03-10,2021-03-15,Essential,Online,QLD,216,0.38,0.35,0.09,0.06,0.06,0.06
2021-01-27,2021-03-27,Newspoll,Online,QLD,1276,0.42,0.35,0.1,0.08,0.05,0
2021-03-24,2021-03-28,Essential,Online,QLD,211,0.31,0.41,0.08,0.05,0.09,0.06
2021-04-07,2021-04-12,Essential,Online,QLD,263,0.33,0.42,0.08,0.06,0.04,0.07
2021-04-12,2021-04-16,Resolve Strategic,Online/Phone,QLD,384,0.39,0.3,0.11,0.08,0.12,0
2021-04-21,2021-04-26,Essential,Online,QLD,209,0.38,0.3,0.11,0.03,0.1,0.08
2021-05-05,2021-05-10,Essential,Online,QLD,210,0.35,0.38,0.09,0.04,0.05,0.09
2021-05-12,2021-05-16,Resolve Strategic,Online,QLD,311,0.41,0.3,0.12,0.07,0.1,0
2021-05-19,2021-05-24,Essential,Online,QLD,211,0.38,0.35,0.08,0.04,0.06,0.09
2021-06-02,2021-06-06,Essential,Online,QLD,212,0.35,0.39,0.09,0.06,0.07,0.04
2021-06-08,2021-06-12,Resolve Strategic,Online,QLD,307,0.38,0.35,0.1,0.07,0.1,0
2021-06-16,2021-06-20,Essential,Online,QLD,209,0.38,0.34,0.1,0.04,0.07,0.07
2021-04-21,2021-06-26,Newspoll,Online,QLD,1249,0.42,0.33,0.11,0.07,0.07,0
2021-06-30,2021-07-04,Essential,Online,QLD,211,0.32,0.4,0.08,0.07,0.06,0.07
2021-07-13,2021-07-17,Resolve Strategic,Online,QLD,309,0.43,0.26,0.09,0.15,0.07,0
2021-07-14,2021-07-18,Essential,Online,QLD,211,0.32,0.4,0.11,0.04,0.07,0.06
2021-07-28,2021-08-01,Essential,Online,QLD,203,0.38,0.3,0.13,0.05,0.07,0.07
2021-08-11,2021-08-15,Essential,Online,QLD,211,0.4,0.32,0.11,0.06,0.04,0.07
2021-08-17,2021-08-21,Resolve Strategic,Online,QLD,309,0.45,0.26,0.12,0.07,0.1,0
2021-08-25,2021-08-29,Essential,Online,QLD,211,0.36,0.35,0.1,0.06,0.06,0.07
2021-09-08,2021-09-12,Essential,Online,QLD,211,0.32,0.36,0.1,0.05,0.08,0.09
2021-07-14,2021-09-18,Newspoll,Online,QLD,1536,0.42,0.33,0.09,0.08,0.08,0
2021-09-15,2021-09-19,Resolve Strategic,Online,QLD,308,0.38,0.32,0.1,0.1,0.1,0
2021-09-22,2021-09-26,Essential,Online,QLD,210,0.38,0.35,0.09,0.05,0.05,0.08
2021-10-06,2021-10-10,Essential,Online,QLD,211,0.36,0.33,0.11,0.05,0.04,0.11
2021-10-20,2021-10-24,Resolve Strategic,Online,QLD,342,0.36,0.33,0.11,0.11,0.09,0
2021-10-20,2021-10-24,Essential,Online,QLD,342,0.36,0.32,0.13,0.04,0.08,0.07
2021-11-03,2021-11-07,Essential,Online,QLD,209,0.3,0.36,0.1,0.05,0.06,0.13
2021-11-17,2021-11-21,Essential,Online,QLD,210,0.3,0.41,0.13,0.04,0.06,0.06
2021-11-17,2021-11-21,Resolve Strategic,Online,QLD,342,0.42,0.3,0.1,0.08,0.1,0
2021-09-29,2021-12-04,Newspoll,Online,QLD,1536,0.4,0.31,0.11,0.09,0.09,0
2021-12-01,2021-12-06,Essential,Voting,QLD,210,0.36,0.34,0.14,0.05,0.05,0.06
2021-12-08,2021-12-13,Essential,Voting,QLD,210,0.39,0.3,0.11,0.08,0.03,0.09
2022-01-11,2022-01-15,Resolve Strategic,Online,QLD,309,0.34,0.26,0.15,0.13,0.12,0
2022-01-20,2022-01-23,Essential,Online,QLD,192,0.37,0.33,0.09,0.05,0.06,0.1
2022-02-03,2022-02-06,Essential,Online,QLD,205,0.33,0.36,0.11,0.04,0.08,0.08
2022-02-15,2022-02-20,Resolve Strategic,Online,QLD,308,0.33,0.33,0.13,0.09,0.12,0
2022-02-17,2022-02-20,Essential,Online,QLD,209,0.34,0.39,0.11,0.1,0.04,0.02
2022-03-03,2022-03-06,Essential,Online,QLD,209,0.4,0.29,0.11,0.04,0.06,0.1
2022-01-25,2022-03-12,Newspoll,Online,QLD,1229,0.4,0.32,0.1,0.08,0.1,0
2022-03-17,2022-03-20,Essential,Online,QLD,209,0.32,0.36,0.13,0.06,0.06,0.07
2022-03-30,2022-04-03,Ipsos,Online/Phone,QLD,493,0.3,0.35,0.13,0.06,0.09,0.07
2022-03-30,2022-04-03,Resolve Strategic,Online,QLD,311,0.33,0.33,0.14,0.05,0.15,0
2022-03-30,2022-04-05,Essential,Online,QLD,189,0.33,0.33,0.13,0.07,0.09,0.05
