Start Date,End Date,Pollster,Mode,Scope,Sample,LNC,ALP,GRN,PHON,IND,UND
2017-03-08,2017-03-19,Essential,N/A,NAT,2000,0.34,0.37,0.09,0.1,0.1,0
2017-03-16,2017-03-19,Newspoll,N/A,NAT,1819,0.37,0.35,0.09,0.1,0.09,0
2017-03-22,2017-03-25,Ipsos,N/A,NAT,1400,0.33,0.34,0.16,0.06,0.11,0
2017-03-15,2017-03-26,Essential,N/A,NAT,2000,0.35,0.37,0.1,0.08,0.1,0
2017-03-22,2017-04-02,Essential,N/A,NAT,2000,0.37,0.36,0.1,0.08,0.09,0
2017-03-30,2017-04-02,Newspoll,N/A,NAT,1708,0.36,0.36,0.1,0.1,0.08,0
2017-03-29,2017-04-09,Essential,N/A,NAT,2000,0.37,0.36,0.1,0.08,0.09,0
2017-04-05,2017-04-16,Essential,N/A,NAT,2000,0.36,0.37,0.1,0.08,0.09,0
2017-04-12,2017-04-23,Essential,N/A,NAT,2000,0.37,0.36,0.1,0.08,0.09,0
2017-04-20,2017-04-23,Newspoll,N/A,NAT,1686,0.36,0.35,0.09,0.1,0.1,0
2017-04-20,2017-05-01,Essential,N/A,NAT,2000,0.38,0.37,0.09,0.07,0.09,0
2017-04-27,2017-05-08,Essential,N/A,NAT,2000,0.37,0.38,0.1,0.06,0.09,0
2017-05-10,2017-05-13,Ipsos,N/A,NAT,1401,0.37,0.35,0.13,0,0.15,0
2017-05-11,2017-05-14,Newspoll,N/A,NAT,1716,0.36,0.36,0.1,0.09,0.09,0
2017-05-04,2017-05-15,Essential,N/A,NAT,2000,0.37,0.38,0.1,0.06,0.09,0
2017-05-11,2017-05-22,Essential,N/A,NAT,2000,0.37,0.37,0.1,0.06,0.1,0
2017-05-25,2017-05-28,Newspoll,N/A,NAT,1716,0.36,0.36,0.1,0.09,0.09,0
2017-05-18,2017-05-29,Essential,N/A,NAT,2000,0.38,0.36,0.11,0.05,0.1,0
2017-05-25,2017-06-06,Essential,N/A,NAT,2000,0.39,0.37,0.1,0.06,0.08,0
2017-06-01,2017-06-13,Essential,N/A,NAT,2000,0.38,0.36,0.1,0.08,0.08,0
2017-06-15,2017-06-18,Newspoll,N/A,NAT,1786,0.36,0.37,0.09,0.11,0.07,0
2017-06-08,2017-06-19,Essential,N/A,NAT,2000,0.38,0.35,0.09,0.09,0.09,0
2017-06-22,2017-06-25,YouGov/Fifty Acres,N/A,NAT,1000,0.34,0.33,0.12,0.07,0.14,0
2017-06-16,2017-06-26,Essential,N/A,NAT,2000,0.39,0.36,0.1,0.07,0.08,0
2017-06-29,2017-06-29,ReachTEL,N/A,NAT,2389,0.364,0.354,0.102,0.096,0.084,0
2017-06-23,2017-07-03,Essential,N/A,NAT,2000,0.38,0.36,0.11,0.07,0.08,0
2017-07-06,2017-07-09,Newspoll,N/A,NAT,1597,0.35,0.36,0.1,0.11,0.08,0
2017-07-06,2017-07-09,YouGov/Fifty Acres,N/A,NAT,1000,0.36,0.33,0.12,0.07,0.12,0
2017-06-30,2017-07-10,Essential,N/A,NAT,2000,0.36,0.36,0.11,0.07,0.1,0
2017-07-07,2017-07-17,Essential,N/A,NAT,2000,0.36,0.38,0.1,0.07,0.09,0
2017-07-19,2017-07-19,ReachTEL,N/A,NAT,2300,0.372,0.351,0.088,0.117,0.072,0
2017-07-20,2017-07-23,Newspoll,N/A,NAT,1677,0.36,0.37,0.09,0.09,0.09,0
2017-07-20,2017-07-23,YouGov/Fifty Acres,N/A,NAT,1005,0.36,0.33,0.1,0.08,0.13,0
2017-07-14,2017-07-24,Essential,N/A,NAT,2000,0.38,0.37,0.1,0.07,0.08,0
2017-07-21,2017-07-31,Essential,N/A,NAT,2000,0.38,0.36,0.1,0.08,0.08,0
2017-08-03,2017-08-06,Newspoll,N/A,NAT,1639,0.36,0.36,0.11,0.08,0.09,0
2017-08-03,2017-08-06,YouGov/Fifty Acres,N/A,NAT,1076,0.34,0.32,0.11,0.09,0.14,0
2017-07-28,2017-08-07,Essential,N/A,NAT,2000,0.37,0.39,0.09,0.08,0.07,0
2017-08-04,2017-08-14,Essential,N/A,NAT,2000,0.37,0.39,0.09,0.08,0.07,0
2017-08-17,2017-08-20,Newspoll,N/A,NAT,1675,0.35,0.38,0.09,0.09,0.09,0
2017-08-17,2017-08-20,YouGov/Fifty Acres,N/A,NAT,1012,0.34,0.33,0.1,0.1,0.13,0
2017-08-11,2017-08-21,Essential,N/A,NAT,2000,0.37,0.37,0.09,0.08,0.09,0
2017-08-23,2017-08-23,ReachTEL,N/A,NAT,2832,0.345,0.367,0.103,0.104,0.081,0
2017-08-18,2017-08-28,Essential,N/A,NAT,2000,0.37,0.36,0.1,0.08,0.09,0
2017-08-31,2017-09-03,Newspoll,N/A,NAT,1606,0.37,0.38,0.09,0.08,0.08,0
2017-08-31,2017-09-03,YouGov/Fifty Acres,N/A,NAT,1032,0.34,0.32,0.12,0.09,0.13,0
2017-08-25,2017-09-04,Essential,N/A,NAT,2000,0.36,0.37,0.1,0.08,0.09,0
2017-09-06,2017-09-09,Ipsos,N/A,NAT,1400,0.35,0.34,0.14,0.06,0.11,0
2017-09-01,2017-09-10,Essential,N/A,NAT,2000,0.36,0.37,0.1,0.09,0.08,0
2017-09-07,2017-09-17,Essential,N/A,NAT,2000,0.38,0.36,0.1,0.08,0.08,0
2017-09-14,2017-09-17,YouGov/Fifty Acres,N/A,NAT,1056,0.34,0.35,0.11,0.09,0.11,0
2017-09-14,2017-09-24,Essential,N/A,NAT,2000,0.37,0.37,0.1,0.07,0.09,0
2017-09-21,2017-09-24,Newspoll,N/A,NAT,1695,0.36,0.38,0.09,0.08,0.09,0
2017-09-28,2017-09-28,ReachTEL,N/A,NAT,4888,0.345,0.364,0.102,0.11,0.079,0
2017-09-21,2017-10-01,Essential,N/A,NAT,2000,0.36,0.38,0.1,0.07,0.09,0
2017-09-28,2017-10-01,YouGov/Fifty Acres,N/A,NAT,954,0.34,0.33,0.11,0.09,0.13,0
2017-09-28,2017-10-08,Essential,N/A,NAT,2000,0.36,0.38,0.1,0.07,0.09,0
2017-10-05,2017-10-15,Essential,N/A,NAT,2000,0.37,0.36,0.09,0.08,0.1,0
2017-10-12,2017-10-15,Newspoll,N/A,NAT,1583,0.36,0.37,0.1,0.09,0.08,0
2017-10-12,2017-10-15,YouGov/Fifty Acres,N/A,NAT,1067,0.34,0.32,0.11,0.11,0.12,0
2017-10-13,2017-10-23,Essential,N/A,NAT,2000,0.37,0.36,0.09,0.08,0.1,0
2017-10-25,2017-10-25,ReachTEL,N/A,NAT,2399,0.371,0.378,0.095,0.093,0.063,0
2017-10-26,2017-10-29,Newspoll,N/A,NAT,1623,0.35,0.37,0.1,0.09,0.09,0
2017-10-26,2017-10-29,YouGov/Fifty Acres,N/A,NAT,1009,0.36,0.33,0.1,0.09,0.12,0
2017-10-20,2017-10-30,Essential,N/A,NAT,2000,0.36,0.37,0.1,0.07,0.1,0
2017-10-27,2017-11-06,Essential,N/A,NAT,2000,0.37,0.37,0.1,0.08,0.08,0
2017-11-09,2017-11-12,Newspoll,N/A,NAT,1624,0.34,0.38,0.09,0.1,0.09,0
2017-11-09,2017-11-12,YouGov/Fifty Acres,N/A,NAT,1034,0.34,0.31,0.11,0.11,0.13,0
2017-11-03,2017-11-13,Essential,N/A,NAT,2000,0.36,0.38,0.09,0.08,0.09,0
2017-11-10,2017-11-20,Essential,N/A,NAT,2000,0.35,0.38,0.09,0.08,0.1,0
2017-11-23,2017-11-26,YouGov/Fifty Acres,N/A,NAT,1034,0.32,0.32,0.1,0.11,0.15,0
2017-11-17,2017-11-27,Essential,N/A,NAT,2000,0.36,0.38,0.09,0.08,0.09,0
2017-11-28,2017-11-28,ReachTEL,N/A,NAT,4571,0.354,0.384,0.104,0.089,0.069,0
2017-11-30,2017-12-02,Ipsos,N/A,NAT,1401,0.34,0.33,0.13,0.06,0.14,0
2017-11-30,2017-12-03,Newspoll,N/A,NAT,1560,0.36,0.37,0.1,0.08,0.09,0
2017-11-24,2017-12-04,Essential,N/A,NAT,2000,0.35,0.38,0.09,0.08,0.1,0
2017-12-01,2017-12-11,Essential,N/A,NAT,2000,0.35,0.38,0.1,0.07,0.1,0
2017-12-14,2017-12-17,Newspoll,N/A,NAT,1669,0.36,0.37,0.1,0.07,0.1,0
2017-12-08,2017-12-18,Essential,N/A,NAT,2000,0.37,0.38,0.09,0.07,0.09,0
2018-01-11,2018-01-15,Essential,N/A,NAT,1038,0.38,0.37,0.09,0.06,0.1,0
2018-01-25,2018-01-25,ReachTEL,N/A,NAT,2400,0.366,0.387,0.108,0.086,0.053,0
2018-01-26,2018-01-28,Essential,N/A,NAT,1028,0.36,0.35,0.1,0.08,0.11,0
2018-02-01,2018-02-04,Newspoll,N/A,NAT,1616,0.38,0.37,0.1,0.05,0.1,0
2018-02-08,2018-02-11,Essential,N/A,NAT,1026,0.37,0.36,0.1,0.06,0.11,0
2018-02-15,2018-02-18,Newspoll,N/A,NAT,1609,0.39,0.37,0.09,0.06,0.09,0
2018-02-15,2018-02-18,Newspoll,N/A,NAT,1632,0.36,0.37,0.1,0.08,0.09,0
2018-02-22,2018-02-22,ReachTEL,N/A,NAT,2400,0.33,0.37,0.11,0.07,0.12,0
2018-02-22,2018-02-25,Essential,N/A,NAT,1028,0.35,0.35,0.1,0.08,0.12,0
2018-03-01,2018-03-04,Newspoll,N/A,NAT,1657,0.37,0.38,0.09,0.07,0.09,0
2018-03-08,2018-03-11,Essential,N/A,NAT,1025,0.36,0.38,0.09,0.08,0.09,0
2018-03-06,2018-03-11,Essential,N/A,NAT,1089,0.37,0.38,0.08,0.07,0.1,0
2018-03-03,2018-03-11,Roy Morgan,N/A,NAT,1000,0.36,0.36,0.135,0.03,0.1,0.015
2018-03-22,2018-03-25,Essential,N/A,NAT,1027,0.38,0.36,0.09,0.08,0.09,0
2018-03-21,2018-03-25,Essential,N/A,NAT,1085,0.39,0.36,0.1,0.07,0.08,0
2018-03-22,2018-03-25,Newspoll,N/A,NAT,1597,0.37,0.39,0.09,0.07,0.08,0
2018-03-17,2018-03-25,Roy Morgan,N/A,NAT,1000,0.35,0.4,0.12,0.035,0.09,0.005
2018-03-28,2018-03-28,ReachTEL,N/A,NAT,2400,0.34,0.36,0.1,0.07,0.13,0
2018-04-03,2018-04-05,Ipsos,N/A,NAT,1166,0.36,0.34,0.12,0.08,0.1,0
2018-04-05,2018-04-08,Newspoll,N/A,NAT,1597,0.38,0.37,0.1,0.07,0.08,0
2018-04-05,2018-04-08,Essential,N/A,NAT,1033,0.38,0.37,0.1,0.07,0.08,0
2018-04-19,2018-04-22,Newspoll,N/A,NAT,2068,0.38,0.37,0.09,0.07,0.09,0
2018-04-19,2018-04-22,Essential,N/A,NAT,1026,0.37,0.36,0.11,0.08,0.08,0
2018-05-01,2018-05-01,ReachTEL,N/A,NAT,2400,0.36,0.35,0.1,0.06,0.13,0
2018-05-03,2018-05-06,Essential,N/A,NAT,1033,0.38,0.37,0.1,0.06,0.09,0
2018-05-10,2018-05-13,Newspoll,N/A,NAT,1728,0.39,0.38,0.09,0.06,0.08,0
2018-05-10,2018-05-13,Essential,N/A,NAT,1027,0.38,0.36,0.1,0.07,0.09,0
2018-05-10,2018-05-13,Ipsos,N/A,NAT,1200,0.36,0.37,0.11,0.05,0.11,0
2018-05-17,2018-05-20,Essential,N/A,NAT,1025,0.4,0.36,0.1,0.08,0.06,0
2018-05-24,2018-05-27,Newspoll,N/A,NAT,1591,0.38,0.38,0.09,0.08,0.07,0
2018-05-31,2018-05-31,ReachTEL,N/A,NAT,2400,0.35,0.34,0.11,0.09,0.11,0
2018-05-31,2018-06-03,Essential,N/A,NAT,1025,0.36,0.37,0.1,0.08,0.09,0
2018-06-14,2018-06-17,Essential,N/A,NAT,1027,0.38,0.35,0.11,0.07,0.09,0
2018-06-14,2018-06-17,Newspoll,N/A,NAT,1660,0.38,0.38,0.1,0.06,0.08,0
2018-06-20,2018-06-23,Ipsos,N/A,NAT,1200,0.35,0.35,0.12,0.06,0.12,0
2018-06-28,2018-07-01,Essential,N/A,NAT,1030,0.4,0.37,0.11,0.06,0.06,0
2018-07-12,2018-07-10,Essential,N/A,NAT,1014,0.4,0.36,0.1,0.06,0.08,0
2018-07-12,2018-07-15,Newspoll,N/A,NAT,1644,0.38,0.36,0.1,0.07,0.09,0
2018-07-18,2018-07-21,Ipsos,N/A,NAT,1200,0.39,0.34,0.12,0.06,0.09,0
2018-07-26,2018-07-29,Essential,N/A,NAT,1022,0.41,0.36,0.1,0.06,0.07,0
2018-07-26,2018-07-29,Newspoll,N/A,NAT,1704,0.39,0.36,0.1,0.07,0.08,0
2018-08-09,2018-08-12,Newspoll,N/A,NAT,1607,0.37,0.35,0.1,0.09,0.09,0
2018-08-08,2018-08-13,Essential,N/A,NAT,1032,0.39,0.37,0.1,0.06,0.08,0
2018-08-15,2018-08-18,Ipsos,N/A,NAT,1200,0.33,0.35,0.13,0.08,0.11,0
2018-08-18,2018-08-19,Roy Morgan,N/A,NAT,1000,0.345,0.39,0.12,0.02,0.115,0.01
2018-08-24,2018-08-26,Essential,N/A,NAT,1035,0.35,0.39,0.1,0.07,0.09,0
2018-08-24,2018-08-26,Newspoll,N/A,NAT,1783,0.33,0.41,0.1,0.07,0.09,0
2018-08-25,2018-08-26,Roy Morgan,N/A,NAT,1000,0.36,0.365,0.13,0.025,0.115,0.005
2018-09-06,2018-09-09,Essential,N/A,NAT,1050,0.36,0.37,0.1,0.08,0.09,0
2018-09-06,2018-09-09,Newspoll,N/A,NAT,1653,0.34,0.42,0.1,0.06,0.08,0
2018-09-12,2018-09-15,Ipsos,N/A,NAT,1200,0.34,0.31,0.15,0.07,0.13,0
2018-09-20,2018-09-23,Essential,N/A,NAT,1030,0.37,0.36,0.12,0.05,0.1,0
2018-09-20,2018-09-23,Newspoll,N/A,NAT,1675,0.36,0.39,0.1,0.06,0.09,0
2018-10-04,2018-10-07,Essential,N/A,NAT,1025,0.38,0.37,0.1,0.07,0.08,0
2018-10-10,2018-10-13,Ipsos,N/A,NAT,1200,0.35,0.35,0.15,0.05,0.1,0
2018-10-11,2018-10-14,Newspoll,N/A,NAT,1707,0.37,0.38,0.11,0.06,0.08,0
2018-10-18,2018-10-21,Essential,N/A,NAT,1027,0.38,0.37,0.1,0.07,0.08,0
2018-10-25,2018-10-28,Newspoll,N/A,NAT,1646,0.36,0.39,0.09,0.06,0.1,0
2018-11-01,2018-11-05,Essential,N/A,NAT,1028,0.36,0.39,0.1,0.06,0.09,0
2018-11-08,2018-11-11,Newspoll,N/A,NAT,1802,0.35,0.4,0.09,0.06,0.1,0
2018-11-14,2018-11-17,Ipsos,N/A,NAT,1200,0.37,0.34,0.13,0.05,0.11,0
2018-11-15,2018-11-18,Essential,N/A,NAT,1027,0.37,0.35,0.11,0.07,0.1,0
2018-11-22,2018-11-25,Newspoll,N/A,NAT,1717,0.34,0.4,0.09,0.08,0.09,0
2018-11-28,2018-12-03,Essential,N/A,NAT,1032,0.38,0.39,0.1,0.06,0.07,0
2018-12-06,2018-12-09,Newspoll,N/A,NAT,1731,0.35,0.41,0.09,0.07,0.08,0
2018-12-12,2018-12-15,Ipsos,N/A,NAT,1200,0.36,0.37,0.13,0.06,0.08,0
2019-01-09,2018-12-15,Essential,N/A,NAT,1089,0.38,0.38,0.1,0.07,0.07,0
2018-12-12,2018-12-17,Essential,N/A,NAT,1026,0.37,0.36,0.11,0.07,0.09,0
2019-01-24,2019-01-27,Newspoll,N/A,NAT,1634,0.37,0.38,0.09,0.06,0.1,0
2019-01-23,2019-01-31,Essential,N/A,NAT,1652,0.38,0.36,0.1,0.07,0.09,0
2019-02-07,2019-02-10,Newspoll,N/A,NAT,1567,0.37,0.39,0.09,0.05,0.1,0
2019-02-02,2019-02-10,Roy Morgan,N/A,NAT,1000,0.36,0.345,0.125,0.03,0.14,0
2019-02-06,2019-02-11,Essential,N/A,NAT,1067,0.34,0.38,0.1,0.07,0.11,0
2019-02-12,2019-02-15,Ipsos,N/A,NAT,1200,0.38,0.33,0.13,0.05,0.11,0
2019-02-16,2019-02-17,Roy Morgan,N/A,NAT,1000,0.345,0.37,0.115,0.035,0.135,0
2019-02-21,2019-02-24,Newspoll,N/A,NAT,1582,0.37,0.39,0.09,0.05,0.1,0
2019-02-20,2019-02-25,Essential,N/A,NAT,1085,0.38,0.37,0.09,0.06,0.1,0
2019-03-07,2019-03-10,Newspoll,N/A,NAT,1610,0.36,0.39,0.09,0.07,0.09,0
2019-03-16,2019-03-24,Roy Morgan,N/A,NAT,1000,0.365,0.345,0.125,0.035,0.13,0
2019-03-25,2019-03-28,YouGov Galaxy,N/A,NAT,1000,0.35,0.37,0.1,0.08,0.1,0
2019-04-04,2019-04-07,Newspoll,N/A,NAT,1799,0.38,0.37,0.09,0.06,0.1,0
2019-04-04,2019-04-07,Essential,N/A,NAT,1069,0.38,0.35,0.11,0.05,0.11,0
2019-04-04,2019-04-07,Ipsos,N/A,NAT,1200,0.37,0.34,0.13,0.05,0.11,0
2019-04-06,2019-04-07,Roy Morgan,N/A,NAT,1000,0.35,0.37,0.135,0.04,0.105,0
2019-04-11,2019-04-14,Newspoll,N/A,NAT,1697,0.39,0.39,0.09,0.04,0.09,0
2019-04-20,2019-04-21,Roy Morgan,N/A,NAT,1000,0.355,0.39,0.095,0.045,0.115,0
2019-04-23,2019-04-25,YouGov Galaxy,N/A,NAT,1012,0.37,0.37,0.09,0.04,0.13,0
2019-04-26,2019-04-28,Newspoll,N/A,NAT,2136,0.38,0.37,0.09,0.04,0.12,0
2019-04-24,2019-04-29,Essential,N/A,NAT,1010,0.39,0.37,0.09,0.06,0.09,0
2019-05-01,2019-05-04,Ipsos,N/A,NAT,1207,0.36,0.33,0.14,0.05,0.12,0
2019-05-02,2019-05-05,Newspoll,N/A,NAT,2003,0.38,0.36,0.09,0.05,0.12,0
2019-05-02,2019-05-06,Essential,N/A,NAT,1079,0.38,0.34,0.12,0.07,0.09,0
2019-05-09,2019-05-11,Newspoll,N/A,NAT,1644,0.39,0.37,0.09,0.04,0.11,0
2019-05-10,2019-05-14,Essential,N/A,NAT,1201,0.385,0.362,0.091,0.066,0.096,0
2019-05-12,2019-05-15,Ipsos,N/A,NAT,1842,0.39,0.33,0.13,0.04,0.11,0
2019-05-13,2019-05-15,YouGov Galaxy,N/A,NAT,1004,0.39,0.37,0.09,0.03,0.12,0
2019-05-14,2019-05-17,Newspoll,N/A,NAT,3038,0.38,0.37,0.09,0.03,0.13,0
